Category,Pathogen,Classification,Country,Sample_size,Mean,Lower95,Upper95,Reference,Value_comment,Note,Cohort,Cost_measure,Cost_measure_c
cost_res,E Coli,ESBL,France,17168,6627.43755722176,,,Touat et al.,,,,Payer perspective,"A public health insurance perspective was chosen for the  analysis. Costs were estimated using official DRG, which  includes the following expense items: medical procedures,  nursing care, administration, routine drug consumption, and  room service."
cost_res,E Coli,ESBL,France,17168,1104.95860110803,,,Touat et al.,Excess,,,Payer perspective,"A public health insurance perspective was chosen for the  analysis. Costs were estimated using official DRG, which  includes the following expense items: medical procedures,  nursing care, administration, routine drug consumption, and  room service."
cost_res,E Coli,ESBL,Thailand,46,1377.74532347036,991.288179909674,1764.20246703104,Apisarnthanarak et al.,,,Patients infected with ESBL-producing E.coli,Health care sector perspective,Hospital costs represented the sum of direct and indirect costs required to provide health care services and medications per the participants’ evaluation and management plan.
cost_sus,Clostridium difficile,Not reported,Australia,26,10219.8363832293,,,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 45- 54 years old",Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Australia,99,11996.9491814386,,,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 55-64 years old",Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Australia,130,11895.8928364641,,,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 65-74 years old",Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Australia,221,10904.2261016335,,,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 75 - 84 years old",Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Australia,165,7763.26344441946,,,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group more than 85",Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Australia,187,3539.16957648711,3191.6602404907,3886.67891248352,CHEN et al.,,,Adults aged over 45 years,Overall cost of treating a pathogen admitted to a hospital,
cost_sus,Clostridium difficile,Not reported,Belgium,86,7820.43366005039,,,Pirson et al.,,,Patients with primary and secondary C. Difficile diagnosis from in-patient database,Hospital costs of medical treatment,
cost_sus,Clostridium difficile,Not reported,Canada,75,38422.7598204901,,,Waye et al.,,,patients who received  fecal microbiota transplantation ( for RCDI (October 2012 to September 2014),Other,"Total Direct CDI Treatment Costs Incurred Per Patient in Each Group, Including Anti-CDI Antibiotics and FMT-related Expenses"
cost_sus,Clostridium difficile,Not reported,France,,1421.49735356737,,,Baro et al.,,,patients with second recurrence of community-onset Clostridium difficile infection treated with Vancomycin pulse/taper,Other,cost of treatment with Vancomycin
cost_sus,Clostridium difficile,Not reported,France,,2836.08864711741,,,Baro et al.,,,patients with second recurrence of community-onset Clostridium difficile infection treated with Fidaxomicin,Other,cost of treatment with Fidaxomicin
cost_sus,Clostridium difficile,Not reported,France,,2110.95234529762,,,Baro et al.,,,patients with second recurrence of community-onset Clostridium difficile infection treated with FMT via duodenal infusion,Other,cost of treatment with FMT via duodenal infusion
cost_sus,Clostridium difficile,Not reported,France,,1853.12610465058,,,Baro et al.,,,patients with second recurrence of community-onset Clostridium difficile infection treated with FMT via enema,Other,cost of treatment with FMT via enema
cost_sus,Clostridium difficile,Not reported,France,,2090.23416524562,,,Baro et al.,,,patients with second recurrence of community-onset Clostridium difficile infection treated with FMT via colonoscopy,Other,cost of treatment with FMT via colonoscopy
cost_sus,Clostridium difficile,Not reported,France,6085,6104.4623868544,,,Dinh et al.,,,Elderly patients with multiple co-morbidities,Overall cost of treating a pathogen admitted to a hospital,
