Category,Pathogen,Classification,Country,Sample_size,Mean_value,Lower,Upper,Reference,Value_comment,Note,Cohort
sym_sus,Clostridium difficile,Mixed,Taiwan,82,6,,,Chung et al.,Diarrhoea duration,The mean duration of diarrhea after the start of treatment  was 6 days in the present study,"Adult aged more than 18 years old, those include Patients with comorbidities"
sym_sus,Clostridium difficile,Mixed,Turkey,30,8.23,,,Akgul et al.,Diarrhoea duration,Diarrhoea duration (days),"Older than 18 years age, males and females.C. difficile toxin A or B positive group."
sym_sus,Clostridium difficile,Not reported,Germany,36,18.5,,,Heimann et al.,Diarrhoea duration,Duration of diarrhoea (days);,Recurrence group: Patients who developed ≥1 CDAD recurrence
sym_sus,Clostridium difficile,Not reported,Germany,114,5.6,,,Heimann et al.,Diarrhoea duration,Duration of diarrhoea (days);,Incidence group: Patients with CDAD but without CDAD recurrence
sym_sus,Clostridium difficile,Not reported,Italy,126,12.9,11.2752835886637,14.5247164113363,Asensio et al.,Diarrhoea duration,"Mean duration of diarrhoea, days (range)",All age
sym_sus,Clostridium difficile,Not reported,Spain,94,10.1,8.18182012510687,12.0181798748931,Asensio et al.,Diarrhoea duration,"Mean duration of diarrhoea, days (range)",All age
sym_sus,Shigella spp.,Azithromycin sus.,Bangladesh,85,3.6,,,Houpt et al.,Duration of diarrhea,Days until resolution of diarrhea,Patients in all age with diarrhea for < 96 hours
sym_res,Shigella spp.,Azithromycin res.,Bangladesh,64,4.6,,,Houpt et al.,Duration of diarrhea,Days until resolution of diarrhea,Patients in all age with diarrhea for < 96 hours
hos_sus,Clostridium difficile,Mixed,Lebanon,200,23.3,,,Karaoui et al.,,,"Co-morbidities: diabetes mellitus (45); chronic obstructive pulmonary disease (20), chronic kidney disease (67); immunocompromised (92); chemotherapy (79)
Gender: both males and females"
hos_sus,Clostridium difficile,Mixed,Taiwan,86,25.7,18.1790518952758,33.2209481047242,Chung et al.,,,"Adult aged more than 18 years old, those include Patients with comorbidities"
hos_sus,Clostridium difficile,Not reported,Australia,26,12.6,8.10957287782674,17.0904271221733,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 45- 54 years old"
hos_sus,Clostridium difficile,Not reported,Australia,99,18.5,15.9821620558533,21.0178379441467,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 55-64 years old"
hos_sus,Clostridium difficile,Not reported,Australia,130,15.7,13.7685369323665,17.6314630676335,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 65-74 years old"
hos_sus,Clostridium difficile,Not reported,Australia,221,17.7,15.9291320576347,19.4708679423653,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group from 75 - 84 years old"
hos_sus,Clostridium difficile,Not reported,Australia,165,16.8,14.8613521544467,18.7386478455533,Chen  BM et al.,,,"Men and women aged 45 years and older.
This form for age group more than 85"
hos_sus,Clostridium difficile,Not reported,Australia,187,6.70208556149733,6.05984465895372,7.34432646404093,CHEN et al.,,,Adults aged over 45 years
hos_sus,Clostridium difficile,Not reported,CANADA,20002,13.6,,,Levy et al.,,,Economic model
