Category,Pathogen,Classification,Country,Quantile_level,Sample_size,Mean_value,Lower,Upper,Reference,Value_comment,Note,Cohort
sym_sus,S. Typhi,Nalidixic acid sus.,India,1,4,4.80375,-0.145654001363772,9.75315400136377,Bandyopadhyay et al.,fever clearance time,Fever clearance time (FCT),Adult aged more than 12 years . Naldixic acid susceptible and resistant S. Typhi
sym_sus,S. Typhi,Drug-sensitive,Pakistan,1,13,26.6168379162366,12.4403182230065,40.7933576094667,Herekar et al.,fever clearance time,,adult patients diagnosed with enteric fever
sym_sus,S. Typhi,Drug-sensitive,Pakistan,1,31,15.9860060217051,8.36875020282894,23.6032618405813,Herekar et al.,fever clearance time,,children at the age of 5-6 diagnosed with enteric fever
sym_sus,S. Typhi and S. Paratyphi,Not reported,India,1,30,6.4,5.00442856790062,7.79557143209938,Dahiya et al.,fever clearance time,The mean duration of defervescence of fever,Children
sym_sus,S. Typhi and S. Paratyphi,Nalidixic acid sus.,Australia,4,57,3.3,,,Hume et al.,fever clearance time,,"59 cases (56.7%) of S. typhi infection, 43 cases (41.3%) of S. paratyphi A infection and two cases (1.9%) of S. paratyphi B infection, median age was 24.7 years (range 15.4–66.5 years)"
sym_sus,S. Typhi,Mixed,Australia,4,59,4.7,,,Hume et al.,fever clearance time,,Patients who are 15 years old or more
sym_sus,S. Paratyphi,Mixed,Australia,4,45,3.1,,,Hume et al.,fever clearance time,,Patients who are 15 years old or more
sym_sus,S. non-Typhi,Mixed,Taiwan,4,67,4.70582089552239,3.98131950081852,5.43032229022626,Lee et al.,fever clearance time,,pediatric patients (younger than 2 years of age)
sym_res,S. Typhi,MDR,India,1,8,8.74625,4.50615962830081,12.9863403716992,Bandyopadhyay et al.,fever clearance time,fever clearance time (FCT),Adult aged more than 12 years. Multidrug resistant S. Typhi
sym_res,S. Typhi,MDR,Pakistan,1,77,24.6354629624082,16.3226800798745,32.9482458449419,Herekar et al.,fever clearance time,Fever days,adult patients diagnosed with enteric fever
sym_res,S. Typhi,MDR,Pakistan,1,629,10.0401346866298,7.39915391708412,12.6811154561756,Herekar et al.,fever clearance time,Fever days,children at the age of 5-6  with enteric fever
sym_res,S. Typhi,XDR,Pakistan,1,86,18.7840493026826,14.9371275709559,22.6309710344093,Herekar et al.,fever clearance time,Fever days,adult patients diagnosed with enteric fever
sym_res,S. Typhi,XDR,Pakistan,1,679,9.48517650709376,7.68618272031857,11.2841702938689,Herekar et al.,fever clearance time,Fever days,children at the age of 5-6 diagnosed with enteric fever
sym_res,S. Typhi,MDR,Turkey,3,137,3.2,2.96556856653428,3.43443143346572,Aypak et al.,fever clearance time,Time-to-fever defervescence,Hospitalised patients with typhoid fever receiving ceftriaxtone
sym_res,S. Typhi,MDR,Turkey,3,15,4.6,3.6890910554452,5.5109089445548,Aypak et al.,fever clearance time,Time-to-fever defervescence,Hospitalised patients with typhoid fever receiving ciprofloxacin
sym_res,S. Typhi and S. Paratyphi,Nalidixic acid res.,Australia,4,39,5.6,,,Hume et al.,fever clearance time,fever clearance time,"59 cases (56.7%) of S. typhi infection, 43 cases (41.3%) of S. paratyphi A infection and two cases (1.9%) of S. paratyphi B infection, median age was 24.7 years (range 15.4–66.5 years)"
